Order_ID,Order_Date,Branch,Customer_ID,Customer_Name,Gender,City,Product_Category,Product_Name,Brand,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Payment_Method,Salesperson,Rating
ORD10014,18/10/2025,Wapda Town,C1785,Usman Butt,Female,Lahore,Grocery,Basmati Rice 5kg,Guard,4,3200,0,12800,10400,2400,JazzCash,Usman,3.9
ORD10015,07/11/2025,DHA,C1409,Zain Iqbal,Female,Lahore,Home,Detergent 1kg,Surf Excel,5,850,5,4037.5,3400,637.5,JazzCash,Umar,3.7
ORD10016,26/04/2025,Wapda Town,C1236,Sara Malik,Male,Lahore,Grocery,Sugar 1kg,Shan,1,180,20,144,150,-6,Cash,Ahmed,3.8
ORD10017,17/01/2025,DHA,C1686,Ayesha Malik,Male,Lahore,Electronics,Mouse,Logitech,5,1800,5,8550,7000,1550,JazzCash,Umar,3.9
ORD10018,31/08/2025,Model Town,C1363,Umar Sheikh,Female,Lahore,Home,Detergent 1kg,Surf Excel,1,850,0,850,680,170,Cash,Ali,3.6
ORD10019,23/06/2025,Wapda Town,C1460,Usman Sheikh,Male,Lahore,Grocery,Cooking Oil 1L,Dalda,2,650,5,1235,1040,195,Credit Card,Umar,3.9
ORD10020,08/02/2025,Wapda Town,C1016,Ahmed Malik,Male,Lahore,Home,Shampoo,Sunsilk,1,620,0,620,500,120,Easypaisa,Umar,4.2
ORD10021,25/07/2025,Model Town,C1272,Ayesha Raza,Female,Lahore,Grocery,Cooking Oil 1L,Dalda,4,650,0,2600,2080,520,JazzCash,Umar,3.7
ORD10022,01/06/2025,Gulberg,C1766,Hamza Khan,Male,Lahore,Beverages,Pepsi 1.5L,Pepsi,5,220,20,880,850,30,JazzCash,Umar,4.3
ORD10023,29/09/2025,Johar Town,C1071,Sara Ahmed,Male,Lahore,Beverages,Pepsi 1.5L,Pepsi,5,220,0,1100,850,250,Easypaisa,Ali,4.9
ORD10024,19/10/2025,Wapda Town,C1084,Umar Iqbal,Female,Lahore,Beverages,Nestle Water 1.5L,Nestle,5,90,0,450,300,150,Debit Card,Zain,3.9
ORD10025,22/07/2025,DHA,C1770,Ahmed Khan,Female,Lahore,Beverages,Nestle Water 1.5L,Nestle,3,90,15,229.5,180,49.5,JazzCash,Ali,3.6
ORD10026,20/04/2025,Gulberg,C1251,Hamza Raza,Male,Lahore,Bakery,Cookies,LU,2,250,10,450,360,90,Easypaisa,Bilal,4.4
ORD10027,01/12/2025,Gulberg,C1138,Bilal Ahmed,Male,Lahore,Bakery,Bread,Dawn,5,120,10,540,400,140,JazzCash,Usman,3.9
ORD10028,06/11/2025,DHA,C1518,Ayesha Raza,Male,Lahore,Beverages,Nestle Water 1.5L,Nestle,3,90,5,256.5,180,76.5,Cash,Hamza,4.7
ORD10029,23/01/2025,Johar Town,C1760,Ayesha Sheikh,Male,Lahore,Grocery,Sugar 1kg,Shan,2,180,10,324,300,24,Cash,Ali,4.9
ORD10030,20/12/2025,Wapda Town,C1566,Usman Sheikh,Male,Lahore,Beverages,Nestle Water 1.5L,Nestle,1,90,10,81,60,21,Cash,Bilal,4
ORD10031,21/01/2025,DHA,C1799,Fatima Sheikh,Male,Lahore,Electronics,Mouse,Logitech,2,1800,0,3600,2800,800,Debit Card,Usman,5
ORD10032,01/04/2025,Model Town,C1686,Maryam Malik,Female,Lahore,Home,Detergent 1kg,Surf Excel,2,850,10,1530,1360,170,Debit Card,Ali,4.1
ORD10033,20/01/2025,DHA,C1313,Hassan Malik,Male,Lahore,Home,Detergent 1kg,Surf Excel,2,850,15,1445,1360,85,Debit Card,Hamza,4
ORD10034,05/02/2025,Wapda Town,C1340,Ali Ahmed,Female,Lahore,Electronics,Keyboard,A4Tech,5,2800,15,11900,11000,900,Debit Card,Bilal,3.6
ORD10035,02/11/2025,Wapda Town,C1524,Ahmed Sheikh,Male,Lahore,Home,Soap,Lux,3,180,15,459,390,69,Credit Card,Ahmed,4.6
ORD10036,01/01/2025,Model Town,C1072,Zain Iqbal,Female,Lahore,Bakery,Cake,Gourmet,2,900,10,1620,1400,220,Cash,Bilal,4.3
ORD10037,08/12/2025,Wapda Town,C1131,Hassan Sheikh,Female,Lahore,Home,Soap,Lux,4,180,10,648,520,128,Debit Card,Bilal,4.1
ORD10038,01/01/2025,Wapda Town,C1622,Zain Iqbal,Female,Lahore,Electronics,Keyboard,A4Tech,2,2800,15,4760,4400,360,Easypaisa,Umar,4.5
ORD10039,19/09/2025,DHA,C1528,Zain Iqbal,Male,Lahore,Home,Shampoo,Sunsilk,2,620,0,1240,1000,240,Debit Card,Bilal,3.8
ORD10040,12/04/2025,Model Town,C1626,Ahmed Chaudhry,Female,Lahore,Beverages,Pepsi 1.5L,Pepsi,1,220,5,209,170,39,JazzCash,Hassan,4.6
ORD10041,16/07/2025,Gulberg,C1769,Ahmed Sheikh,Male,Lahore,Home,Soap,Lux,2,180,5,342,260,82,Debit Card,Umar,3.6
ORD10042,08/05/2025,Wapda Town,C1573,Sara Iqbal,Female,Lahore,Grocery,Tea 475g,Tapal,2,980,15,1666,1640,26,JazzCash,Hamza,4.7
ORD10043,08/10/2025,DHA,C1770,Hassan Raza,Female,Lahore,Home,Detergent 1kg,Surf Excel,4,850,15,2890,2720,170,Debit Card,Bilal,4.2
ORD10044,27/05/2025,Wapda Town,C1083,Usman Butt,Male,Lahore,Beverages,Coca Cola 1.5L,Coca-Cola,3,220,10,594,510,84,Easypaisa,Usman,4.6
ORD10045,02/02/2025,Model Town,C1426,Ali Malik,Female,Lahore,Home,Soap,Lux,3,180,20,432,390,42,Easypaisa,Ahmed,4.8
ORD10046,22/10/2025,DHA,C1772,Umar Sheikh,Male,Lahore,Home,Soap,Lux,1,180,10,162,130,32,Easypaisa,Hassan,3.9
ORD10047,06/09/2025,Johar Town,C1479,Usman Khan,Female,Lahore,Grocery,Tea 475g,Tapal,3,980,15,2499,2460,39,JazzCash,Ahmed,3.6
ORD10048,08/08/2025,DHA,C1389,Hamza Malik,Female,Lahore,Beverages,Coca Cola 1.5L,Coca-Cola,2,220,0,440,340,100,Credit Card,Zain,4.6
ORD10049,14/07/2025,Model Town,C1020,Maryam Khan,Female,Lahore,Electronics,Keyboard,A4Tech,3,2800,0,8400,6600,1800,Debit Card,Ali,4.7
ORD10050,30/11/2025,Gulberg,C1637,Usman Malik,Male,Lahore,Grocery,Basmati Rice 5kg,Guard,2,3200,5,6080,5200,880,Easypaisa,Ali,4.3
ORD10051,22/04/2025,Johar Town,C1621,Sara Ahmed,Male,Lahore,Home,Shampoo,Sunsilk,3,620,10,1674,1500,174,Credit Card,Ali,4.4
ORD10052,09/06/2025,Johar Town,C1078,Sara Malik,Male,Lahore,Bakery,Cake,Gourmet,4,900,15,3060,2800,260,Credit Card,Ali,4.7
ORD10053,17/10/2025,DHA,C1071,Fatima Iqbal,Male,Lahore,Grocery,Sugar 1kg,Shan,5,180,15,765,750,15,Easypaisa,Umar,3.7
ORD10054,05/07/2025,Johar Town,C1752,Fatima Raza,Female,Lahore,Stationery,Pen,Dollar,2,60,15,102,70,32,Easypaisa,Hamza,4.7
ORD10055,31/10/2025,DHA,C1462,Hassan Chaudhry,Female,Lahore,Electronics,Keyboard,A4Tech,2,2800,0,5600,4400,1200,Credit Card,Ahmed,4.2
ORD10056,16/06/2025,DHA,C1349,Bilal Raza,Male,Lahore,Beverages,Coca Cola 1.5L,Coca-Cola,2,220,10,396,340,56,JazzCash,Hassan,3.6
ORD10057,28/07/2025,Model Town,C1459,Ali Ahmed,Female,Lahore,Home,Shampoo,Sunsilk,2,620,15,1054,1000,54,Debit Card,Hamza,4.5
ORD10058,06/06/2025,Wapda Town,C1544,Hamza Sheikh,Female,Lahore,Stationery,Marker,Dollar,3,120,15,306,240,66,Credit Card,Umar,3.9
ORD10059,09/05/2025,Gulberg,C1761,Fatima Butt,Male,Lahore,Beverages,Pepsi 1.5L,Pepsi,2,220,10,396,340,56,Debit Card,Umar,3.9
ORD10060,29/10/2025,Johar Town,C1304,Hassan Iqbal,Male,Lahore,Bakery,Cake,Gourmet,3,900,0,2700,2100,600,Credit Card,Ahmed,4.6
ORD10061,06/03/2025,DHA,C1715,Usman Chaudhry,Male,Lahore,Electronics,Mouse,Logitech,1,1800,20,1440,1400,40,Cash,Bilal,4.2
ORD10062,14/08/2025,Model Town,C1117,Ahmed Sheikh,Female,Lahore,Electronics,Mouse,Logitech,1,1800,10,1620,1400,220,Cash,Ahmed,3.7
ORD10063,16/10/2025,Wapda Town,C1783,Umar Malik,Female,Lahore,Electronics,Mouse,Logitech,2,1800,0,3600,2800,800,Easypaisa,Umar,3.9
ORD10064,29/10/2025,Gulberg,C1625,Maryam Ahmed,Male,Lahore,Home,Soap,Lux,5,180,20,720,650,70,Debit Card,Bilal,4.5
ORD10065,22/03/2025,Johar Town,C1003,Umar Chaudhry,Female,Lahore,Beverages,Pepsi 1.5L,Pepsi,5,220,0,1100,850,250,Credit Card,Ahmed,3.8
ORD10066,28/12/2025,Johar Town,C1271,Zain Malik,Female,Lahore,Electronics,Power Bank,Xiaomi,4,4500,0,18000,14400,3600,Cash,Hassan,4.5
ORD10067,17/05/2025,DHA,C1610,Maryam Raza,Female,Lahore,Beverages,Pepsi 1.5L,Pepsi,1,220,5,209,170,39,Cash,Umar,4.5
ORD10068,25/12/2025,Model Town,C1449,Ahmed Khan,Female,Lahore,Home,Soap,Lux,5,180,20,720,650,70,Credit Card,Bilal,3.5
ORD10069,28/04/2025,DHA,C1591,Ali Butt,Female,Lahore,Stationery,Marker,Dollar,5,120,0,600,400,200,JazzCash,Umar,4.9
ORD10070,03/04/2025,Model Town,C1357,Umar Iqbal,Female,Lahore,Bakery,Cookies,LU,4,250,0,1000,720,280,Cash,Usman,4
ORD10071,22/12/2025,Gulberg,C1466,Ahmed Iqbal,Female,Lahore,Home,Soap,Lux,4,180,20,576,520,56,Credit Card,Ali,5
ORD10072,26/07/2025,Model Town,C1056,Hassan Iqbal,Female,Lahore,Bakery,Bread,Dawn,5,120,15,510,400,110,Easypaisa,Ahmed,3.8
ORD10073,09/10/2025,Gulberg,C1030,Zain Malik,Male,Lahore,Beverages,Coca Cola 1.5L,Coca-Cola,4,220,15,748,680,68,Credit Card,Ahmed,4.3
ORD10074,17/02/2025,Johar Town,C1511,Maryam Raza,Female,Lahore,Beverages,Pepsi 1.5L,Pepsi,4,220,0,880,680,200,Easypaisa,Umar,5
ORD10075,05/05/2025,Johar Town,C1614,Fatima Butt,Male,Lahore,Home,Shampoo,Sunsilk,2,620,15,1054,1000,54,Credit Card,Hamza,4
ORD10076,17/09/2025,Wapda Town,C1594,Zain Chaudhry,Male,Lahore,Electronics,Mouse,Logitech,3,1800,10,4860,4200,660,Easypaisa,Umar,4
ORD10077,10/10/2025,Johar Town,C1715,Hassan Sheikh,Male,Lahore,Bakery,Cookies,LU,4,250,10,900,720,180,Easypaisa,Ahmed,4
ORD10078,31/08/2025,Model Town,C1038,Usman Iqbal,Male,Lahore,Stationery,Pen,Dollar,4,60,5,228,140,88,Easypaisa,Ali,4.3
ORD10079,22/08/2025,Gulberg,C1481,Bilal Iqbal,Female,Lahore,Grocery,Cooking Oil 1L,Dalda,4,650,5,2470,2080,390,Cash,Zain,4.8
ORD10080,01/10/2025,Gulberg,C1633,Ahmed Malik,Female,Lahore,Home,Soap,Lux,4,180,20,576,520,56,Debit Card,Ali,4.2
ORD10081,20/02/2025,Johar Town,C1711,Bilal Khan,Male,Lahore,Stationery,Marker,Dollar,1,120,15,102,80,22,Credit Card,Ahmed,3.9
ORD10082,11/07/2025,Model Town,C1580,Zain Butt,Male,Lahore,Home,Detergent 1kg,Surf Excel,2,850,20,1360,1360,0,Debit Card,Ali,4.4
ORD10083,15/07/2025,Wapda Town,C1147,Hassan Chaudhry,Female,Lahore,Bakery,Cake,Gourmet,2,900,15,1530,1400,130,Easypaisa,Bilal,4.5
ORD10084,27/08/2025,Gulberg,C1453,Hamza Raza,Female,Lahore,Electronics,Power Bank,Xiaomi,5,4500,5,21375,18000,3375,Credit Card,Umar,4.8
ORD10085,12/04/2025,Model Town,C1586,Hamza Raza,Female,Lahore,Home,Soap,Lux,1,180,5,171,130,41,Cash,Hamza,3.9
ORD10086,17/10/2025,Model Town,C1294,Hassan Iqbal,Male,Lahore,Stationery,Marker,Dollar,1,120,20,96,80,16,Debit Card,Bilal,4.5
ORD10087,04/12/2025,DHA,C1452,Ali Iqbal,Male,Lahore,Stationery,Notebook,Dollar,1,180,0,180,120,60,Cash,Bilal,4
ORD10088,01/08/2025,DHA,C1544,Fatima Raza,Male,Lahore,Beverages,Pepsi 1.5L,Pepsi,2,220,20,352,340,12,Credit Card,Umar,5
ORD10089,01/06/2025,Gulberg,C1145,Hassan Sheikh,Female,Lahore,Stationery,Pen,Dollar,1,60,15,51,35,16,Cash,Hamza,3.5
ORD10090,02/10/2025,Wapda Town,C1391,Zain Iqbal,Male,Lahore,Grocery,Tea 475g,Tapal,3,980,10,2646,2460,186,Debit Card,Umar,3.5
ORD10091,15/10/2025,Model Town,C1718,Bilal Sheikh,Male,Lahore,Electronics,Power Bank,Xiaomi,2,4500,0,9000,7200,1800,Debit Card,Ahmed,4.9
ORD10092,05/06/2025,Wapda Town,C1139,Umar Chaudhry,Female,Lahore,Home,Detergent 1kg,Surf Excel,1,850,5,807.5,680,127.5,JazzCash,Hamza,4.4
ORD10093,21/03/2025,Wapda Town,C1418,Bilal Khan,Female,Lahore,Home,Shampoo,Sunsilk,1,620,15,527,500,27,Debit Card,Umar,4.2
ORD10094,01/05/2025,DHA,C1063,Umar Raza,Male,Lahore,Electronics,Mouse,Logitech,3,1800,20,4320,4200,120,Cash,Umar,3.6
ORD10095,19/04/2025,Gulberg,C1342,Hassan Butt,Male,Lahore,Stationery,Marker,Dollar,5,120,0,600,400,200,Cash,Hassan,4.4
ORD10096,30/04/2025,DHA,C1149,Usman Raza,Male,Lahore,Electronics,Mouse,Logitech,5,1800,0,9000,7000,2000,Cash,Ahmed,3.7
ORD10097,03/07/2025,Johar Town,C1272,Ali Butt,Female,Lahore,Beverages,Nestle Water 1.5L,Nestle,3,90,0,270,180,90,JazzCash,Ali,4.6
ORD10098,01/09/2025,Gulberg,C1463,Fatima Malik,Male,Lahore,Home,Soap,Lux,5,180,20,720,650,70,JazzCash,Bilal,4.2
ORD10099,16/01/2025,Gulberg,C1503,Maryam Chaudhry,Male,Lahore,Grocery,Tea 475g,Tapal,4,980,15,3332,3280,52,Cash,Zain,4.4
ORD10100,03/02/2025,Wapda Town,C1730,Hamza Sheikh,Female,Lahore,Beverages,Coca Cola 1.5L,Coca-Cola,5,220,20,880,850,30,Easypaisa,Hamza,3.6
ORD10101,26/12/2025,Johar Town,C1424,Hamza Chaudhry,Female,Lahore,Grocery,Cooking Oil 1L,Dalda,4,650,15,2210,2080,130,Easypaisa,Ali,4
ORD10102,10/06/2025,Model Town,C1069,Ahmed Ahmed,Male,Lahore,Stationery,Pen,Dollar,3,60,5,171,105,66,Easypaisa,Ali,4.6
ORD10103,10/07/2025,Wapda Town,C1576,Hamza Ahmed,Female,Lahore,Beverages,Nestle Water 1.5L,Nestle,1,90,20,72,60,12,Credit Card,Hamza,4.8
ORD10104,27/01/2025,Gulberg,C1592,Fatima Malik,Male,Lahore,Electronics,Power Bank,Xiaomi,3,4500,10,12150,10800,1350,Easypaisa,Hassan,4.8
ORD10105,29/06/2025,Wapda Town,C1232,Umar Khan,Female,Lahore,Bakery,Cookies,LU,1,250,10,225,180,45,Cash,Usman,3.9
ORD10106,08/06/2025,Johar Town,C1580,Zain Sheikh,Male,Lahore,Electronics,Keyboard,A4Tech,1,2800,5,2660,2200,460,Debit Card,Ahmed,3.6
ORD10107,29/09/2025,DHA,C1162,Hamza Raza,Female,Lahore,Beverages,Coca Cola 1.5L,Coca-Cola,4,220,15,748,680,68,JazzCash,Ali,4.8
ORD10108,21/03/2025,DHA,C1454,Zain Sheikh,Female,Lahore,Beverages,Nestle Water 1.5L,Nestle,1,90,0,90,60,30,JazzCash,Umar,4.1
ORD10109,21/04/2025,Gulberg,C1291,Zain Chaudhry,Female,Lahore,Bakery,Bread,Dawn,3,120,15,306,240,66,Cash,Hassan,4.1
ORD10110,03/11/2025,Johar Town,C1786,Usman Raza,Female,Lahore,Grocery,Basmati Rice 5kg,Guard,2,3200,10,5760,5200,560,Credit Card,Ali,3.5
ORD10111,09/08/2025,Johar Town,C1513,Fatima Iqbal,Male,Lahore,Beverages,Pepsi 1.5L,Pepsi,4,220,20,704,680,24,Easypaisa,Ahmed,4.2
ORD10112,24/08/2025,Wapda Town,C1415,Maryam Sheikh,Female,Lahore,Grocery,Sugar 1kg,Shan,5,180,15,765,750,15,Cash,Hamza,3.5
ORD10113,16/06/2025,Gulberg,C1448,Ahmed Malik,Female,Lahore,Beverages,Nestle Water 1.5L,Nestle,4,90,10,324,240,84,JazzCash,Hamza,4.3
ORD10114,22/07/2025,DHA,C1798,Usman Ahmed,Male,Lahore,Electronics,Power Bank,Xiaomi,3,4500,5,12825,10800,2025,JazzCash,Hassan,4.9
ORD10115,28/06/2025,Gulberg,C1150,Bilal Malik,Male,Lahore,Electronics,Power Bank,Xiaomi,2,4500,5,8550,7200,1350,JazzCash,Usman,4.6
ORD10116,02/12/2025,Wapda Town,C1779,Sara Chaudhry,Female,Lahore,Grocery,Cooking Oil 1L,Dalda,4,650,15,2210,2080,130,Credit Card,Usman,4.2
ORD10117,29/08/2025,Wapda Town,C1058,Hamza Ahmed,Female,Lahore,Home,Shampoo,Sunsilk,3,620,10,1674,1500,174,Easypaisa,Umar,3.6
ORD10118,08/07/2025,Wapda Town,C1520,Umar Chaudhry,Male,Lahore,Electronics,Mouse,Logitech,1,1800,20,1440,1400,40,Easypaisa,Hassan,4
ORD10119,01/09/2025,Gulberg,C1352,Maryam Ahmed,Male,Lahore,Bakery,Bread,Dawn,1,120,15,102,80,22,Cash,Hassan,4.6
ORD10120,13/08/2025,DHA,C1382,Bilal Sheikh,Female,Lahore,Bakery,Cake,Gourmet,5,900,5,4275,3500,775,Credit Card,Ahmed,4.7
ORD10121,28/11/2025,Wapda Town,C1695,Umar Raza,Female,Lahore,Electronics,Mouse,Logitech,3,1800,0,5400,4200,1200,JazzCash,Usman,4
ORD10122,26/10/2025,Model Town,C1133,Sara Ahmed,Female,Lahore,Stationery,Notebook,Dollar,3,180,10,486,360,126,JazzCash,Hamza,4.5
ORD10123,18/06/2025,Model Town,C1521,Hamza Khan,Female,Lahore,Beverages,Nestle Water 1.5L,Nestle,5,90,0,450,300,150,Credit Card,Usman,4.9
ORD10124,24/06/2025,Johar Town,C1080,Bilal Ahmed,Male,Lahore,Home,Detergent 1kg,Surf Excel,2,850,5,1615,1360,255,Credit Card,Usman,4.4
ORD10125,20/03/2025,Model Town,C1045,Umar Iqbal,Male,Lahore,Beverages,Pepsi 1.5L,Pepsi,5,220,5,1045,850,195,Easypaisa,Bilal,4.6
ORD10126,18/08/2025,Model Town,C1199,Hamza Chaudhry,Female,Lahore,Beverages,Nestle Water 1.5L,Nestle,2,90,10,162,120,42,Credit Card,Hamza,4.3
ORD10127,03/08/2025,DHA,C1054,Zain Chaudhry,Female,Lahore,Beverages,Pepsi 1.5L,Pepsi,5,220,5,1045,850,195,JazzCash,Ali,4.6
ORD10128,22/09/2025,DHA,C1461,Fatima Butt,Female,Lahore,Grocery,Sugar 1kg,Shan,1,180,5,171,150,21,Cash,Hassan,4.7
ORD10129,28/06/2025,Wapda Town,C1383,Hassan Sheikh,Male,Lahore,Grocery,Tea 475g,Tapal,1,980,15,833,820,13,Credit Card,Hassan,3.5
ORD10130,20/02/2025,Johar Town,C1040,Bilal Chaudhry,Male,Lahore,Stationery,Marker,Dollar,3,120,5,342,240,102,Easypaisa,Umar,4.4
ORD10131,10/02/2025,Wapda Town,C1745,Sara Sheikh,Male,Lahore,Grocery,Sugar 1kg,Shan,2,180,5,342,300,42,Credit Card,Hassan,4
ORD10132,25/01/2025,Gulberg,C1114,Ayesha Khan,Male,Lahore,Beverages,Coca Cola 1.5L,Coca-Cola,5,220,15,935,850,85,Debit Card,Bilal,4.1
ORD10133,11/11/2025,Johar Town,C1681,Zain Ahmed,Female,Lahore,Electronics,Mouse,Logitech,5,1800,15,7650,7000,650,Cash,Ahmed,4.1
ORD10134,29/08/2025,Gulberg,C1366,Ahmed Iqbal,Male,Lahore,Grocery,Tea 475g,Tapal,3,980,10,2646,2460,186,Cash,Zain,3.7
ORD10135,30/06/2025,Model Town,C1647,Usman Butt,Male,Lahore,Bakery,Cookies,LU,2,250,15,425,360,65,Easypaisa,Ahmed,3.9
ORD10136,23/01/2025,Wapda Town,C1408,Fatima Chaudhry,Female,Lahore,Beverages,Pepsi 1.5L,Pepsi,3,220,10,594,510,84,Cash,Hassan,3.9
ORD10137,25/01/2025,DHA,C1448,Umar Chaudhry,Female,Lahore,Stationery,Pen,Dollar,3,60,0,180,105,75,Credit Card,Usman,4.2
ORD10138,12/09/2025,Model Town,C1081,Umar Butt,Female,Lahore,Electronics,Power Bank,Xiaomi,3,4500,0,13500,10800,2700,Credit Card,Ali,3.6
ORD10139,05/12/2025,Model Town,C1171,Maryam Chaudhry,Female,Lahore,Electronics,Keyboard,A4Tech,4,2800,20,8960,8800,160,Easypaisa,Ahmed,4.6
ORD10140,30/06/2025,Gulberg,C1688,Zain Sheikh,Female,Lahore,Bakery,Cookies,LU,3,250,0,750,540,210,JazzCash,Usman,4.9
ORD10141,15/03/2025,Johar Town,C1069,Hassan Iqbal,Female,Lahore,Bakery,Cake,Gourmet,4,900,0,3600,2800,800,Easypaisa,Ahmed,4.4
ORD10142,14/12/2025,Gulberg,C1588,Usman Iqbal,Female,Lahore,Home,Soap,Lux,3,180,15,459,390,69,Credit Card,Bilal,3.9
ORD10143,28/02/2025,Model Town,C1576,Ahmed Raza,Female,Lahore,Grocery,Cooking Oil 1L,Dalda,4,650,20,2080,2080,0,Easypaisa,Hassan,5
ORD10144,27/05/2025,Johar Town,C1076,Ayesha Butt,Female,Lahore,Stationery,Pen,Dollar,2,60,0,120,70,50,Cash,Zain,4.5
ORD10145,30/12/2025,Johar Town,C1371,Fatima Malik,Male,Lahore,Grocery,Sugar 1kg,Shan,3,180,5,513,450,63,Debit Card,Usman,3.9
ORD10146,10/09/2025,DHA,C1479,Fatima Butt,Male,Lahore,Grocery,Sugar 1kg,Shan,5,180,20,720,750,-30,Cash,Bilal,4.1
ORD10147,03/09/2025,Gulberg,C1129,Hamza Ahmed,Female,Lahore,Bakery,Cookies,LU,4,250,20,800,720,80,Easypaisa,Zain,3.7
ORD10148,10/10/2025,Model Town,C1515,Ali Ahmed,Male,Lahore,Stationery,Marker,Dollar,2,120,5,228,160,68,Credit Card,Usman,3.7
ORD10149,30/12/2025,Gulberg,C1257,Hassan Raza,Male,Lahore,Beverages,Coca Cola 1.5L,Coca-Cola,5,220,10,990,850,140,Credit Card,Ali,4.3
ORD10150,28/03/2025,Wapda Town,C1738,Sara Iqbal,Male,Lahore,Bakery,Cake,Gourmet,2,900,5,1710,1400,310,Cash,Ali,3.6
ORD10151,25/11/2025,Model Town,C1633,Zain Khan,Female,Lahore,Bakery,Cookies,LU,2,250,20,400,360,40,JazzCash,Bilal,4.5
ORD10152,04/06/2025,Model Town,C1075,Maryam Khan,Male,Lahore,Home,Detergent 1kg,Surf Excel,4,850,10,3060,2720,340,Easypaisa,Hamza,4.2
ORD10153,15/04/2025,DHA,C1752,Hamza Sheikh,Male,Lahore,Electronics,Power Bank,Xiaomi,2,4500,10,8100,7200,900,Credit Card,Ali,4
ORD10154,27/08/2025,Johar Town,C1100,Ali Raza,Female,Lahore,Grocery,Sugar 1kg,Shan,4,180,5,684,600,84,JazzCash,Hamza,3.9
ORD10155,23/03/2025,Johar Town,C1511,Fatima Chaudhry,Female,Lahore,Electronics,Power Bank,Xiaomi,3,4500,5,12825,10800,2025,Credit Card,Umar,3.5
ORD10156,21/07/2025,Wapda Town,C1362,Ali Khan,Female,Lahore,Bakery,Cookies,LU,2,250,5,475,360,115,Easypaisa,Umar,3.9
ORD10157,05/01/2025,DHA,C1783,Umar Iqbal,Male,Lahore,Grocery,Tea 475g,Tapal,2,980,10,1764,1640,124,Easypaisa,Ahmed,4.4
ORD10158,10/04/2025,Model Town,C1517,Ayesha Raza,Male,Lahore,Electronics,Power Bank,Xiaomi,3,4500,0,13500,10800,2700,Debit Card,Ali,4.1
ORD10159,23/06/2025,Wapda Town,C1522,Umar Khan,Male,Lahore,Bakery,Cookies,LU,2,250,5,475,360,115,Cash,Usman,4.6
ORD10160,31/08/2025,Wapda Town,C1144,Hamza Iqbal,Male,Lahore,Bakery,Cookies,LU,2,250,20,400,360,40,Easypaisa,Bilal,4.4
ORD10161,17/09/2025,DHA,C1487,Ali Iqbal,Female,Lahore,Bakery,Cake,Gourmet,4,900,20,2880,2800,80,Cash,Hamza,4.4
ORD10162,19/12/2025,DHA,C1672,Sara Malik,Male,Lahore,Stationery,Notebook,Dollar,5,180,15,765,600,165,JazzCash,Umar,3.8
ORD10163,19/11/2025,Johar Town,C1033,Sara Ahmed,Male,Lahore,Stationery,Marker,Dollar,4,120,5,456,320,136,Cash,Umar,4
